央视频道,#genre#
CCTV-1 HD,http://liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-2 HD,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-3 HD,http://liveplay-kk.rtxapp.com/live/program/live/cctv3hd/4000000/mnf.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/1.m3u8
CCTV-4 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-4/1.m3u8
CCTV-5 HD,http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8#http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8
CCTV-5+HD,http://liveplay-kk.rtxapp.com/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV-6 HD,http://112.17.40.48:80/PLTV/88888888/224/3221226433/1.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8#http://112.17.40.7:80/PLTV/88888888/224/3221226487/1.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/cctv6hd/4000000/mnf.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/1.m3u8
CCTV-7 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-7/1.m3u8
CCTV-8 HD,http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/cctv8hd/4000000/mnf.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/1.m3u8
CCTV-9 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-news/1.m3u8
CCTV-10 HD,http://liveplay-kk.rtxapp.com/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV-11 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-11/1.m3u8
CCTV-12 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-12/1.m3u8
CCTV-13 HD,http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/1.m3u8
CCTV-14 HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-14/1.m3u8
CCTV-16 HD,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-17 HD,http://117.169.124.37:6610/ysten-businessmobile/live/HD-4000k-1080P-cctv17/1.m3u8
卫视频道,#genre#
湖南卫视 HD,http://117.169.124.37:6610/ysten-businessmobile/live/hdhunanstv/1.m3u8
江苏卫视 HD,http://117.169.124.37:6610/ysten-businessmobile/live/hdjiangsustv/yst.m3u8
浙江卫视 HD,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/zjwshd/4000000/mnf.m3u8
