三封直播,#genre#
蓝光直播,#genre#

港台直播,#genre#
翡翠台,p8p://0198.02686.cc:16871/5f378d9b0003c2e4417a53bb22d95282.ts
有線新聞,p8p://0198.02686.cc:16871/5e021549000d8ec4e44477e9f2ec6aad.ts
明珠台,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
J2台,p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
无线新闻,http://danielwu.gz01.bdysite.com/iptv/?id=wxxw2
无线新闻台,http://45.93.217.106/jiuban/hg.php?id=1
無線財經,p8p://0198.02686.cc:16871/5d6000ef00075fa1eddd111e1452c6bc.ts
好消息1,p8p://0198.02686.cc:16871/5d1a69b9000b139e11bdf29f39814479.ts
有线新闻台,http://danielwu.gz01.bdysite.com/iptv/?id=yxxw2
亚视ATV,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
Channel[V],rtmp://58.200.131.2:1935/livetv/channelv  
now新闻台,p8p://0198.02686.cc:16871/5e565c070000cb6f2d78cad5c040fa7b
港台电视31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de
天映电影,p8p://0198.02686.cc:16871/5ecfb28400055004967ec4954fccfd7f
台視HD,http://p06.iptv2asia.com:18888/http/001
台視綜合,http://p06.iptv2asia.com:18888/http/002
台視財經,http://p06.iptv2asia.com:18888/http/003
台視新聞HD,http://p06.iptv2asia.com:18888/http/004
CTV中視HD,http://p06.iptv2asia.com:18888/http/005
CTV中視新聞HD,http://p06.iptv2asia.com:18888/http/006
CTV中視經典,http://p06.iptv2asia.com:18888/http/007
BRAVO中視菁采,http://p06.iptv2asia.com:18888/http/008
華視CTSHD,http://p06.iptv2asia.com:18888/http/009
華視新聞資訊HD,http://p06.iptv2asia.com:18888/http/010
華視體育文化HD,http://p06.iptv2asia.com:18888/http/011
民視HD,http://p06.iptv2asia.com:18888/http/012
民視台灣台HD,http://p06.iptv2asia.com:18888/http/013
民視第一台HD,http://p06.iptv2asia.com:18888/http/014
民視新聞台HD,http://p06.iptv2asia.com:18888/http/015
公視,http://p06.iptv2asia.com:18888/http/016
公視台語台,http://p06.iptv2asia.com:18888/http/017
公視3,http://p06.iptv2asia.com:18888/http/018
HakkaTV客家電視台,http://p06.iptv2asia.com:18888/http/019
TITV原住民電視台,http://p06.iptv2asia.com:18888/http/020
JET綜合,p8p://0198.02686.cc:16871/5d1a69a7000abe1711bdac390219d138.ts
三立戲劇臺,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
三立綜合臺,p8p://0198.02686.cc:16871/5d1a69fa0007d2f011beefb295d4d371.ts
TVBS新聞_HD,p8p://0198.02686.cc:16871/5db05ca40003699da50b30c835589bf5.ts
民視新聞臺HD,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
緯來電影,p8p://0198.02686.cc:16871/5d1a69ce0005e8e911be435423cf0509.ts
民视,p8p://0198.02686.cc:16871/5d8f08b60007eeea22db58419a492c10
VTV2,https://106a0d4b0.vws.vegacdn.vn/cliptv_liverecord/vtv2hd_abr/playlist.m3u8
VTV3,https://106a0d4b0.vws.vegacdn.vn/cliptv_liverecord/vtv3hd1_abr/playlist.m3u8
VTV4,https://106a0d4b0.vws.vegacdn.vn/cliptv_liverecord/vtv4hd_abr/playlist.m3u8
VTV6,https://106a0d4b0.vws.vegacdn.vn/cliptv_liverecord/vtv6hd1_abr/playlist.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
Channel K,https://d3cs5y5559s57s.cloudfront.net/live/channelk.m3u8
ViuTV96台,http://61.238.6.49:8000/bysid/96
ViuTV99台,http://61.238.6.49:8000/bysid/99
TVB无线新闻,http://192.144.236.55/php/newtvb.php?id=1
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
三立新聞,http://60.199.188.65/HLS/WG_ETTV-N/02.m3u8
大立電視,http://211.21.214.7:8808/live/dali/index.m3u8
信吉電視,http://220.130.241.203:1935/sjtv/livestream/chunklist_w1048671923.m3u8
华丽台,p8p://0198.02686.cc:16871/5ecfb36000001d6396821ea0563496d9
欢喜台,p8p://0198.02686.cc:16871/5ecfb90800040601969837e0aa1efa5c
壹電視新聞,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
壹綜合,p8p://0198.02686.cc:16871/5d1a69b70007631411bde9dd9eaae997.ts
日韩直播,#genre#
韓國lKTV 韓國電視,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韓國lEBS 兒童頻道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韓國lSBS 星級頻道,https://streaming-a-802.cdn.nextologies.com/SBS_18/playlist.m3u8
韓國lSBS 影視頻道,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/chunks.m3u8
韓國EBS Kids,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韓國FTVLIVE,http://218.236.58.185:1935/FTVLIVE_MOBILE/Stream_mobile/playlist.m3u8
韓國lUBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
NHKEテレ东京,p8p://0198.02686.cc:16871/5d414f68000e596775f79b8f963b1f60.ts
NHK総合-东京,p8p://0198.02686.cc:16871/5d414f680002d76075f7989dcc8ec320.ts
TOKYO　MX,p8p://0198.02686.cc:16871/5d414e7c00096eb975f4006de34ca37e.ts
フジテレビ,p8p://0198.02686.cc:16871/5d414e7b000d387e75f3fd7d08f4d2ce.ts
放送大学,p8p://0198.02686.cc:16871/5d414e7b00021a0c75f3faa5131927d5.ts
WOWOWライブ,p8p://0198.02686.cc:16871/5d414e790002c58e75f3f300c43c2dde.ts
BS-TBS,p8p://0198.02686.cc:16871/5d4005830005460870eef2b474c1515d.ts
BSジャパン,p8p://0198.02686.cc:16871/5d414e770002d7e275f3eb3517f85fa6.ts
WOWOWシネマ,p8p://0198.02686.cc:16871/5d414e7a0007bb9b75f3f82e740f7c22.ts
サンテレビ,p8p://0198.02686.cc:16871/5d400580000c583e70eee8cc921a4eb4.ts
NHKBS1,p8p://0198.02686.cc:16871/5d40058100043b7170eeeaa0dd43366a.ts
